Manga ID,Manga URL,English Title,Synonims Titles,Japanese Title,Type,Volumes,Chapters,Status,Published,Published Dates,Genres,Author,Serialization,Score,Ranked,Popularity,Members,Favorites,Score Voted By
60553,https://myanimelist.net/manga/60553/Kono_Subarashii_Sekai_ni_Shukufuku_wo,Konosuba: God's Blessing on This Wonderful World!,Unknown,この素晴らしい世界に祝福を！,Novel,Unknown,Unknown,Publishing,"Oct  1, 2013 to ?","{'from': '2013-10-01', 'to': 'Unknown'}","['Adventure', 'Comedy', 'Fantasy', 'Supernatural']","['Mishima, Kurone (Art)', ' Akatsuki, Natsume (Story)']",None,8.67,51,330,27918,1560,7609
88660,https://myanimelist.net/manga/88660/Yagate_Kimi_ni_Naru,Bloom Into You,"YagaKimi, Eventually, I Will Become You",やがて君になる,Manga,8,50,Finished,"Apr  27, 2015 to Sep  27, 2019","{'from': '2015-04-27', 'to': '2019-09-27'}","['Drama', 'School', 'Shoujo', 'Shoujo']","['Nakatani, Nio (Story & Art)']",Dengeki Daioh,8.67,52,216,38437,3924,15402
121269,https://myanimelist.net/manga/121269/Who_Made_Me_a_Princess,Unknown,"Eoneu Nal Gongjuga Doeeo Beoryeotda, Suddenly Became A Princess One Day",어느 날 공주가 되어버렸다,Manhwa,Unknown,Unknown,Publishing,"Dec  20, 2017 to ?","{'from': '2017-12-20', 'to': 'Unknown'}","['Comedy', 'Fantasy', 'Romance']","['Plutus (Story)', ' Spoon (Art)']",None,8.67,53,1355,8288,775,3370
119161,https://myanimelist.net/manga/119161/Spy_x_Family,Spy x Family,Unknown,SPY×FAMILY,Manga,Unknown,Unknown,Publishing,"Mar  25, 2019 to ?","{'from': '2019-03-25', 'to': 'Unknown'}","['Action', 'Comedy', 'Shounen']","['Endou, Tatsuya (Story & Art)']",Shounen Jump+,8.66,54,152,51539,3130,18545
105084,https://myanimelist.net/manga/105084/Jibaku_Shounen_Hanako-kun,Toilet-Bound Hanako-kun,Unknown,地縛少年 花子くん,Manga,Unknown,Unknown,Publishing,"Dec  18, 2014 to ?","{'from': '2014-12-18', 'to': 'Unknown'}","['School', 'Supernatural']","['Aida, Iro (Story & Art)']",GFantasy,8.66,55,348,26894,3320,9074
37707,https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso,Your Lie in April,Unknown,四月は君の嘘,Manga,11,44,Finished,"Apr  6, 2011 to Feb  6, 2015","{'from': '2011-04-06', 'to': '2015-02-06'}","['Drama', 'Music', 'Romance', 'School', 'Shounen']","['Arakawa, Naoshi (Story & Art)']",Shounen Magazine (Monthly),8.66,56,143,52666,2337,22804
34053,https://myanimelist.net/manga/34053/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_8__Twilight_of_the_Golden_Witch,Umineko When They Cry Episode 8: Twilight of the Golden Witch,When Seagulls Cry Episode 8: Twilight of the Golden Witch,うみねこのなく頃に散 - Episode 8: Twilight of the Golden Witch,Manga,9,42,Finished,"Jan  21, 2012 to Jun  22, 2015","{'from': '2012-01-21', 'to': '2015-06-22'}","['Mystery', 'Drama', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']","['Natsumi, Kei (Art)', ' Ryukishi07 (Story)']",Gangan Joker,8.65,57,1643,6895,387,2285
35513,https://myanimelist.net/manga/35513/Koten-bu_Series,Unknown,Hyouka,〈古典部〉シリーズ,Novel,Unknown,Unknown,Publishing,"Oct  31, 2001 to ?","{'from': '2001-10-31', 'to': 'Unknown'}","['Adventure', 'Mystery', 'School']","['Yonezawa, Honobu (Story)']",None,8.65,58,1153,9611,359,1627
111213,https://myanimelist.net/manga/111213/Bastard,Unknown,Hulejasig,후레자식,Manhwa,5,94,Finished,"Jul  4, 2014 to May  6, 2016","{'from': '2014-07-04', 'to': '2016-05-06'}","['Mystery', 'Drama', 'Horror', 'Romance', 'Psychological']","['Kim, Carnby (Story)', ' Hwang, Young-chan (Art)']",Naver Webtoon,8.65,59,169,45192,3002,23128
81211,https://myanimelist.net/manga/81211/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,"SukaSuka, What are you doing at the end? Are you busy? Can you save me?, Do you have what THE END? Are you busy? Shall you save xxx?",終末なにしてますか？忙しいですか？救ってもらっていいですか？,Novel,5,25,Finished,"Nov  1, 2014 to Apr  1, 2016","{'from': '2014-11-01', 'to': '2016-04-01'}","['Drama', 'Fantasy', 'Romance', 'Sci', 'Sci']","['Kareno, Akira (Story)', ' ue (Art)']",None,8.65,60,657,15535,625,3139
